place,Total_Time,Swim_Time,Bike_Time,Run_Time
388,36931.0,4100.0,19025.0,13466.0
389,36931.0,4492.0,19639.0,12470.0
390,36933.0,4415.0,19239.0,12813.0
391,36934.0,3830.0000000000005,19370.0,13304.0
392,36944.0,4026.0000000000005,19681.0,12938.0
393,36952.0,4339.0,20102.0,12217.0
394,36961.0,4330.0,19032.0,13219.0
395,36963.0,4438.0,18383.0,13804.0
396,36963.0,3837.0000000000005,19061.0,13817.0
397,36967.0,4092.0000000000005,19526.0,13005.0
398,36970.0,3310.0,20461.0,12800.0
399,36984.0,3765.0000000000005,18418.0,14550.0
400,37011.0,4394.0,19314.0,12989.0
401,37015.0,4509.0,18461.0,13803.0
402,37018.0,3853.0000000000005,19694.0,13021.0
403,37025.0,4227.0,19080.0,13473.0
404,37026.0,4117.0,19000.0,13394.0
405,37032.0,3818.0000000000005,18905.0,14063.0
406,37042.0,4727.0,19204.0,12861.0
407,37048.0,4040.0000000000005,19562.0,12783.0
408,37053.0,3869.0000000000005,19707.0,13225.0
409,37057.0,3914.0000000000005,19185.0,13464.0
410,37060.0,3998.0000000000005,19834.0,12578.0
411,37069.0,3618.0,18850.0,14223.0
412,37069.0,3856.0000000000005,20408.0,12330.0
413,37079.0,3825.0000000000005,19021.0,13914.0
414,37090.0,4696.0,19261.0,12692.0
415,37091.0,4112.0,19912.0,12741.0
416,37098.0,3579.0,19230.0,13789.0
417,37107.0,4589.0,18790.0,13346.0
418,37116.0,3769.0000000000005,18935.0,14137.0
419,37116.0,4697.0,18723.0,13386.0
420,37121.0,3832.0000000000005,19401.0,13617.0
421,37122.0,4124.0,18813.0,13891.0
422,37125.0,4492.0,19223.0,13112.0
423,37134.0,5018.0,18647.0,12959.0
424,37135.0,4051.0000000000005,19780.0,13028.0
425,37144.0,4050.0000000000005,18803.0,13898.0
426,37146.0,4727.0,17755.0,14185.0
427,37148.0,3738.0000000000005,19383.0,13181.0
428,37149.0,4450.0,18054.0,14309.0
429,37153.0,3891.0000000000005,18418.0,14444.0
430,37156.0,3700.0000000000005,19010.0,14032.0
431,37174.0,4428.0,18370.0,14134.0
432,37177.0,3605.0,19466.0,13309.0
433,37183.0,4023.0000000000005,18765.0,14096.0
434,37193.0,4137.0,19239.0,13510.0
435,37205.0,4424.0,18922.0,13398.0
436,37217.0,4072.0000000000005,19178.0,13333.0
437,37218.0,4218.0,19148.0,13364.0
438,37220.0,3908.0000000000005,18538.0,14505.0
439,37222.0,3461.0,18060.0,15395.000000000002
440,37225.0,3890.0000000000005,18763.0,14250.0
441,37226.0,4062.0000000000005,19760.0,13075.0
442,37248.0,3787.0000000000005,20323.0,12695.0
443,37268.0,3887.0000000000005,20018.0,13109.0
444,37273.0,4389.0,19764.0,12873.0
445,37282.0,3928.0000000000005,19075.0,13922.0
446,37293.0,4748.0,20547.0,11592.0
447,37298.0,4222.0,19656.0,13092.0
448,37324.0,4507.0,19105.0,13395.0
449,37328.0,4499.0,19562.0,13062.0
450,37334.0,3831.0000000000005,19381.0,13801.0
451,37348.0,3760.0000000000005,19578.0,13708.0
452,37356.0,4801.0,18706.0,13455.0
453,37363.0,3961.0000000000005,19189.0,13905.0
454,37375.0,4683.0,18375.0,14017.0
455,37379.0,4878.0,19575.0,12481.0
456,37387.0,4871.0,19409.0,12771.0
457,37397.0,3678.0000000000005,19339.0,14030.0
458,37400.0,4628.0,19176.0,13270.0
459,37407.0,4704.0,18960.0,13218.0
460,37410.0,3857.0000000000005,18569.0,14585.0
461,37411.0,4112.0,18606.0,14315.0
462,37417.0,4059.0000000000005,19219.0,13712.0
463,37420.0,3936.0000000000005,19039.0,14073.0
464,37423.0,3878.0000000000005,18235.0,15050.000000000002
465,37425.0,4246.0,19343.0,13561.0
466,37436.0,3812.0000000000005,19397.0,13819.0
467,37439.0,4050.0000000000005,19281.0,13691.0
468,37440.0,4212.0,19404.0,13489.0
469,37444.0,5053.0,19499.0,12394.0
470,37453.0,3945.0000000000005,19435.0,13760.0
